,pixel_L2,pixel_cosine,low_cosine,mid_cosine,high_cosine,clip_cosine,dino_cosine,rcnn_confidence,yolo_confidence
bottle,33307.59330760542,0.5934951967099704,0.33787651708327143,0.23462188645568957,0.24681397393368273,0.9975677589336074,0.9478924105684441,0.012970511350466545,0.004291124947099801
bowl,35564.8763380984,0.658131298348836,0.35390876142691213,0.22210732591701737,0.2311465279773829,0.9980161190455688,0.9459223033688593,0.06282511330771108,0.006038671499448465
car,35410.14107759916,0.5567658526572183,0.3717334493278311,0.2265138547724256,0.25972946275724096,0.9981170625067675,0.9441830179439141,0.07374890263622197,0.009103134045234093
chair,30009.158882665823,0.6109068601793451,0.37047474657005003,0.2444127871349395,0.2708708769943668,0.9986732517306512,0.9534886846664866,0.12970364189489555,0.005806033071793115
clock,35653.66980616465,0.7274677066868093,0.3753402948943006,0.2032923450552616,0.2536792928118165,0.99849128031931,0.9521598622077654,0.05883826441248926,0.022257868507329154
cup,34124.52646572832,0.6594436651811112,0.35096649622031745,0.23754132918041684,0.258767176474836,0.9982981418137965,0.950091651060443,0.1342674754856937,0.02063167893152306
fork,36866.59370584239,0.5594705078686061,0.33597664725197396,0.25043531226075216,0.28647010540832646,0.9985893789063329,0.9486501105194507,0.015246488011401632,0.0004848869339279507
keyboard,36112.93705311651,0.6957614563486498,0.3746353474445641,0.23029896799555938,0.26828665788609374,0.9986217378274255,0.9508895621675512,0.005389824278814637,0.000718296886138294
knife,37975.99878933954,0.46451344958222507,0.31678630897762083,0.24531400053107993,0.2548207849845396,0.9985436385404979,0.9480586157622912,0.025312972932736925,0.0011589920689873661
laptop,36295.26985041921,0.6552785333972878,0.33732443334368184,0.2245323440468893,0.27951214194176643,0.9985235985701646,0.9499761180664466,0.07400731421037902,0.006265108444826389
microwave,34745.494695888425,0.6878094892853346,0.30896860336263976,0.24520085148322276,0.34383323048360837,0.9984529518546202,0.9515866246360999,0.03652739770328387,0.008685565281372805
mouse,36197.54468266198,0.5391993717145209,0.33776883880753034,0.24400562456714997,0.2473811491264389,0.9980392875474527,0.94558668245963,0.011039855433713405,0.000495500356779186
oven,34143.558768757735,0.6102065269604768,0.32429935146528893,0.23129696410776365,0.3425219003516849,0.9987132947043618,0.9586976811437323,0.23057365633252233,0.04795301680517669
potted plant,34405.09696441254,0.6350301043360265,0.33639745214446026,0.21609709185439271,0.2410943023763694,0.9984294205904007,0.953782584992322,0.1126809571204441,0.011193850965468915
sink,31997.354264147907,0.7910702537197793,0.3381585202123102,0.25689486729575317,0.3208278425932465,0.998838866568808,0.9577919736771601,0.05745881369811446,0.006851272236916327
stop sign,39951.87201528398,0.6518077618486825,0.31865249060922196,0.17431479540490916,0.2225476379905428,0.9981501949211907,0.9456958936320411,0.02794133796992283,0.004487454512762645
toilet,27115.05139283772,0.7960223871978778,0.32064728387454644,0.2504856899474995,0.34292008957436565,0.9987251691048659,0.9574060153734835,0.23416029967933516,0.06253937867623341
tv,37957.30978769323,0.601533924215523,0.3042003043923938,0.2371722099009994,0.28672034171181215,0.9984026296707235,0.9499697499215815,0.16014909588357307,0.04052395878949624
