,pixel_L2,pixel_cosine,low_cosine,mid_cosine,high_cosine,clip_cosine,dino_cosine,rcnn_confidence,yolo_confidence
bottle,28086.02427610834,0.5836616319587387,0.5039191808327135,0.39319318735814957,0.3813158037118524,0.9977275765085795,0.9509292998586792,0.01281780443906066,0.002322892270174371
bowl,29568.786692084996,0.6700034971421598,0.549690014462099,0.39488461207836234,0.3620597915578607,0.9978948192393526,0.9464802472726673,0.039038053635798445,0.0016907395834618426
car,28953.95798386794,0.5516613126642859,0.5032073217085921,0.3587385344247405,0.3533457675214427,0.9984465633447354,0.9436651615569225,0.08181366611701937,0.006652550141398724
chair,22580.163225281,0.6075631040903066,0.5847664286143224,0.4333470439369028,0.4321744309995957,0.998627658936346,0.9559932949043546,0.10096940599646964,0.001674620118065785
clock,31547.281427668724,0.7453290426493192,0.5016822610958284,0.33396609171348457,0.3261314469600926,0.9986640396238375,0.9464185240388918,0.05997481940298521,0.01892249969875111
cup,29545.723036790932,0.6656577935334349,0.5478985316781462,0.4024765888256007,0.37052817403784266,0.9981657726609189,0.9501987997172535,0.1124575224219133,0.010466476864572884
fork,19569.318224354618,0.5450983462547478,0.6263814547528391,0.5205829260401104,0.5728133444358473,0.9986726517521817,0.9663440334278605,0.0007685772329568863,0.0
keyboard,30523.358272917376,0.7196518901290129,0.5249717076430502,0.3584288562283568,0.38176140612315224,0.998671977578298,0.9509248970967272,0.007308013714930933,0.0006262610787930696
knife,19073.809176570812,0.44308522101623793,0.6110499458955535,0.5002738688643097,0.5523589110966269,0.9985174154136198,0.9582185305179434,0.016592581134210242,0.0
laptop,30091.76263973577,0.6467362529742039,0.5183943931891666,0.3842107604795355,0.38934379584057544,0.9980700768106352,0.9475376687398771,0.07894884310662746,0.0058266644555378735
microwave,32804.7480869391,0.6833635282726624,0.46709558822405645,0.34763385314398854,0.40430614905288587,0.998136712419681,0.951704264833377,0.05682989044640309,0.00605216649098274
mouse,31071.301650748996,0.5385192002109979,0.5381258992973817,0.41042482667013047,0.4003898296060912,0.9980874948545333,0.9483299459886113,0.009753648663332703,0.0
oven,29974.987485496596,0.5991697947872747,0.4725024718016681,0.3431473465986771,0.38437031838710944,0.9984536532718357,0.957110331908311,0.20976963779787616,0.023213188217418027
potted plant,24326.605389166496,0.6171558276907384,0.5726281061381489,0.43417578283455466,0.4486535625217797,0.998324866341306,0.9615886795830417,0.0795519473611728,0.0029369055837779852
sink,26010.527930212535,0.8011338774301779,0.6504744263639587,0.5092668007244773,0.5361286421189598,0.9985621875332248,0.9541327918302202,0.035465401262846044,0.00043022317484715507
stop sign,35871.87527669271,0.6392350994730516,0.4377893486548038,0.2900178378063535,0.309535631076211,0.9983578090156827,0.9490417689558059,0.052278221706076274,0.004112742699327923
toilet,22450.931939774524,0.8126824303141124,0.6663183341486545,0.5118848947218702,0.4914897094987616,0.9984821855267392,0.9582281753609452,0.16361915218301967,0.01694766647076305
tv,35310.72982234208,0.6037786002101847,0.4511443181394258,0.3343101899500843,0.34807378859971766,0.9981844074785498,0.9497975775991895,0.19965675321152415,0.08225346747454375
