,pixel_L2,pixel_cosine,low_cosine,mid_cosine,high_cosine,clip_cosine,dino_cosine,rcnn_confidence,yolo_confidence
bottle,0.3811112220985684,0.43530107326842,0.41628922134734647,0.410563045864278,0.4017027820594625,0.41470408662605185,0.43311080638318733,0.04476477176205151,0.004797530332069859
bowl,0.4417572074587663,0.5200633846068048,0.49172386495048087,0.4860968876740033,0.4450092745904648,0.4877899843297339,0.4981359579320021,0.0802631965978766,0.0027024805025867376
car,0.382900480002069,0.45749276108819953,0.43282244924302476,0.4085774440835748,0.40522928706042977,0.4399587840793772,0.4352451180302238,0.11759187578973822,0.015726481330177514
chair,0.40036779546413526,0.4864647731260931,0.4906634198540953,0.48055350133600505,0.4565121124723819,0.49234453160110847,0.47846437449803497,0.17587616170220047,0.004322108075434141
clock,0.4694687197345588,0.49960516105737085,0.5025417119396128,0.47656569902805734,0.4847618138198745,0.5271280403655447,0.5251474560370615,0.1218617975857483,0.023743892581049836
cup,0.4278949922897521,0.4952139595712434,0.4960151377088267,0.4823901721870915,0.4576149130050907,0.48572768599385635,0.4897981091181791,0.15098157452727823,0.02030754345176762
fork,0.35410017119875126,0.3977390892015542,0.3970240742324618,0.3796553202796786,0.3844173477559711,0.40096047421268605,0.4066048259078896,0.00589824898236525,0.0
keyboard,0.4674028946258069,0.5265965418573918,0.5145354876991399,0.49817555949417225,0.5040313549336457,0.5415786103107966,0.5376573314529602,0.02243976326987678,0.0010869565217391304
knife,0.32197971411088006,0.3504884966579117,0.34946602340643906,0.33939208730800385,0.3302513497122487,0.36707283136295965,0.35952953181039443,0.03983896708196968,0.0
laptop,0.42868861070588016,0.5130568693026188,0.4959900844690258,0.4946251059882561,0.4662875604068223,0.5059912563661841,0.523647984728493,0.137619158754108,0.010707990970125193
microwave,0.40420492801946845,0.5141718397057735,0.4843085907962358,0.4983178910265591,0.47723806947785624,0.4795549056743504,0.5108745412114056,0.14333927934553606,0.009123185082491634
mouse,0.405350757863901,0.42995014472393855,0.4313687019105827,0.40688233152543885,0.4341163256547398,0.4205931390212385,0.4468620868460372,0.018836442070117785,0.0
oven,0.41936184687934575,0.5054303308419839,0.4886650938582195,0.4838461804690456,0.46922712396977595,0.4997064629549153,0.5090918581394371,0.27611488325778677,0.040191379937262524
potted plant,0.377788744895146,0.45893402495803887,0.44312735165091155,0.4405766331458235,0.42183247131224294,0.45400886447855693,0.45746052915867347,0.13560253258895705,0.005715445176314934
sink,0.4488958782456078,0.5263024458413982,0.5269987730538309,0.5160259532231245,0.5020272557214914,0.5266680867814114,0.52721468167182,0.07638435098336252,0.0014336917562724014
stop sign,0.45209965032333316,0.5121826600201533,0.49210233076998633,0.4666551018853286,0.4625592714062604,0.5079572644352673,0.5057318684684063,0.09518372425874275,0.008046833539340251
toilet,0.4545372889006954,0.5022078117412024,0.5195849365585767,0.5027706170105314,0.4830818750336938,0.5135148224809454,0.5148254332419523,0.18362604208927089,0.021239216804557093
tv,0.40709645219157925,0.4784222493434108,0.4803189591658825,0.491343525923514,0.46535662867246963,0.49207976274932824,0.5024692025645744,0.2908402656942543,0.1364143369308498
