Using device: cuda
Loading models...
[KDownloading https://github.com/ultralytics/assets/releases/download/v8.3.0/yolo11n.pt to 'yolo11n.pt': 100% ━━━━━━━━━━━━ 5.4MB 94.7MB/s 0.1s[KDownloading https://github.com/ultralytics/assets/releases/download/v8.3.0/yolo11n.pt to 'yolo11n.pt': 100% ━━━━━━━━━━━━ 5.4MB 73.2MB/s 0.1s
✓ All models loaded successfully
Starting metrics calculation for minimal prompt...
  Processing category: bottle
    ✔️ bbox rep0: RCNN=0.089, YOLO=0.000
    ✔️ bbox rep1: RCNN=0.107, YOLO=0.000
    ✔️ bbox rep2: RCNN=0.149, YOLO=0.364
    ✔️ bbox rep3: RCNN=0.715, YOLO=0.360
    ✔️ bbox rep4: RCNN=0.072, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.987, YOLO=0.745
    ✔️ bbox rep6: RCNN=0.095, YOLO=0.000
    ✔️ bbox rep7: RCNN=0.413, YOLO=0.393
    ✔️ bbox rep8: RCNN=0.131, YOLO=0.000
    ✔️ bbox rep9: RCNN=0.927, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.984, YOLO=0.852
    ✔️ segmentation rep1: RCNN=0.996, YOLO=0.842
    ✔️ segmentation rep2: RCNN=0.990, YOLO=0.834
    ✔️ segmentation rep3: RCNN=0.989, YOLO=0.696
    ✔️ segmentation rep4: RCNN=0.995, YOLO=0.903
    ✔️ segmentation rep5: RCNN=0.992, YOLO=0.877
    ✔️ segmentation rep6: RCNN=0.988, YOLO=0.851
    ✔️ segmentation rep7: RCNN=0.991, YOLO=0.887
    ✔️ segmentation rep8: RCNN=0.990, YOLO=0.850
    ✔️ segmentation rep9: RCNN=0.987, YOLO=0.861
    ✔️ bbox rep0: RCNN=0.978, YOLO=0.509
    ✔️ bbox rep1: RCNN=0.977, YOLO=0.503
    ✔️ bbox rep2: RCNN=0.982, YOLO=0.430
    ✔️ bbox rep3: RCNN=0.973, YOLO=0.492
    ✔️ bbox rep4: RCNN=0.978, YOLO=0.598
    ✔️ bbox rep5: RCNN=0.974, YOLO=0.505
    ✔️ bbox rep6: RCNN=0.980, YOLO=0.576
    ✔️ bbox rep7: RCNN=0.978, YOLO=0.497
    ✔️ bbox rep8: RCNN=0.983, YOLO=0.607
    ✔️ bbox rep9: RCNN=0.972, YOLO=0.507
    ✔️ segmentation rep0: RCNN=0.977, YOLO=0.540
    ✔️ segmentation rep1: RCNN=0.975, YOLO=0.540
    ✔️ segmentation rep2: RCNN=0.979, YOLO=0.362
    ✔️ segmentation rep3: RCNN=0.975, YOLO=0.467
    ✔️ segmentation rep4: RCNN=0.972, YOLO=0.592
    ✔️ segmentation rep5: RCNN=0.974, YOLO=0.494
    ✔️ segmentation rep6: RCNN=0.978, YOLO=0.594
    ✔️ segmentation rep7: RCNN=0.982, YOLO=0.442
    ✔️ segmentation rep8: RCNN=0.978, YOLO=0.662
    ✔️ segmentation rep9: RCNN=0.967, YOLO=0.496
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep1: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep2: RCNN=0.187, YOLO=0.300
    ✔️ bbox rep3: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep4: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.074, YOLO=0.000
    ✔️ bbox rep6: RCNN=0.126, YOLO=0.000
    ✔️ bbox rep7: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep8: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep9: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep1: RCNN=0.651, YOLO=0.000
    ✔️ segmentation rep2: RCNN=0.554, YOLO=0.333
    ✔️ segmentation rep3: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep4: RCNN=0.979, YOLO=0.633
    ✔️ segmentation rep5: RCNN=0.993, YOLO=0.848
    ✔️ segmentation rep6: RCNN=0.706, YOLO=0.000
    ✔️ segmentation rep7: RCNN=0.870, YOLO=0.768
    ✔️ segmentation rep8: RCNN=0.154, YOLO=0.000
    ✔️ segmentation rep9: RCNN=0.965, YOLO=0.759
    ✔️ bbox rep0: RCNN=0.223, YOLO=0.566
    ✔️ bbox rep1: RCNN=0.872, YOLO=0.000
    ✔️ bbox rep2: RCNN=0.434, YOLO=0.000
    ✔️ bbox rep3: RCNN=0.908, YOLO=0.694
    ✔️ bbox rep4: RCNN=0.724, YOLO=0.278
    ✔️ bbox rep5: RCNN=0.491, YOLO=0.000
    ✔️ bbox rep6: RCNN=0.910, YOLO=0.000
    ✔️ bbox rep7: RCNN=0.607, YOLO=0.288
    ✔️ bbox rep8: RCNN=0.277, YOLO=0.000
    ✔️ bbox rep9: RCNN=0.888, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.941, YOLO=0.524
    ✔️ segmentation rep1: RCNN=0.855, YOLO=0.000
    ✔️ segmentation rep2: RCNN=0.447, YOLO=0.000
    ✔️ segmentation rep3: RCNN=0.895, YOLO=0.607
    ✔️ segmentation rep4: RCNN=0.715, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.339, YOLO=0.000
    ✔️ segmentation rep6: RCNN=0.881, YOLO=0.000
    ✔️ segmentation rep7: RCNN=0.476, YOLO=0.000
    ✔️ segmentation rep8: RCNN=0.189, YOLO=0.000
    ✔️ segmentation rep9: RCNN=0.879, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep1: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep2: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep3: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep4: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep6: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep7: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep8: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep9: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep1: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep2: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep3: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep4: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep6: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep7: RCNN=0.000, YOLO=0.000
