Using device: cuda
Loading models...
✓ All models loaded successfully
Starting metrics calculation for realistic prompt...
  Processing category: bottle
    ✔️ bbox rep0: RCNN=0.094, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.984, YOLO=0.702
    ✔️ segmentation rep0: RCNN=0.977, YOLO=0.837
    ✔️ segmentation rep5: RCNN=0.987, YOLO=0.831
    ✔️ bbox rep0: RCNN=0.978, YOLO=0.507
    ✔️ bbox rep5: RCNN=0.973, YOLO=0.490
    ✔️ segmentation rep0: RCNN=0.977, YOLO=0.541
    ✔️ segmentation rep5: RCNN=0.972, YOLO=0.461
    ✔️ bbox rep0: RCNN=0.103, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.990, YOLO=0.785
    ✔️ bbox rep0: RCNN=0.577, YOLO=0.603
    ✔️ bbox rep5: RCNN=0.495, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.895, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.507, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.490, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.535, YOLO=0.390
    ✔️ segmentation rep0: RCNN=0.377, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.494, YOLO=0.396
    ✔️ bbox rep0: RCNN=0.956, YOLO=0.654
    ✔️ bbox rep5: RCNN=0.588, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.825, YOLO=0.467
    ✔️ segmentation rep5: RCNN=0.261, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.776, YOLO=0.295
    ✔️ bbox rep5: RCNN=0.154, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.938, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.986, YOLO=0.416
    ✔️ bbox rep0: RCNN=0.523, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.991, YOLO=0.830
    ✔️ segmentation rep0: RCNN=0.996, YOLO=0.799
    ✔️ segmentation rep5: RCNN=0.990, YOLO=0.852
    ✔️ bbox rep0: RCNN=0.211, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.250, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.329, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.177, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.992, YOLO=0.835
    ✔️ bbox rep5: RCNN=0.992, YOLO=0.911
    ✔️ segmentation rep0: RCNN=0.056, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.584, YOLO=0.418
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.991, YOLO=0.857
    ✔️ bbox rep5: RCNN=0.986, YOLO=0.859
    ✔️ segmentation rep0: RCNN=0.963, YOLO=0.844
    ✔️ segmentation rep5: RCNN=0.976, YOLO=0.826
    ✔️ bbox rep0: RCNN=0.797, YOLO=0.265
    ✔️ bbox rep5: RCNN=0.988, YOLO=0.865
    ✔️ segmentation rep0: RCNN=0.824, YOLO=0.386
    ✔️ segmentation rep5: RCNN=0.942, YOLO=0.752
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.887, YOLO=0.659
    ✔️ segmentation rep5: RCNN=0.964, YOLO=0.790
    ✔️ bbox rep0: RCNN=0.777, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.977, YOLO=0.718
    ✔️ segmentation rep0: RCNN=0.784, YOLO=0.694
    ✔️ segmentation rep5: RCNN=0.909, YOLO=0.869
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.091, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.474, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.983, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.992, YOLO=0.584
    ✔️ bbox rep0: RCNN=0.979, YOLO=0.911
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.446, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.287, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
